 you have NEW start conditions
 Phases of horizontal layers:
           1           1
           2           3
        min.angle=32.32 j=  1 i=398 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=398 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=398 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=398 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=398 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=398 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=398 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=398 dt(yr)= 0.46
 Remeshing due to shortening required:    200.00280359340542     
     21382's step. Time[My]=  0.010,  elapsed sec-   180.0
        min.angle=32.32 j=  1 i=399 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=399 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=399 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=399 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=399 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=399 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=399 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=399 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=399 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=399 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=399 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=399 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=399 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=399 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=399 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=399 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=399 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=399 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=399 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=399 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=399 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=399 dt(yr)= 0.46
 Remeshing due to shortening required:    200.00603409668963     
        min.angle=32.32 j=  1 i=400 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=400 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=400 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=400 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=400 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=400 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=400 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=400 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=400 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=400 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=400 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=400 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=400 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=400 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=400 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=400 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=400 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=400 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=400 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=400 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=400 dt(yr)= 0.46
        min.angle=32.32 j=  1 i=400 dt(yr)= 0.46
 Remeshing due to shortening required:    200.00371272608584     
        min.angle=38.29 j=  1 i= 16 dt(yr)= 0.51
        min.angle=38.29 j=  1 i= 16 dt(yr)= 0.51
        min.angle=38.29 j=  1 i= 16 dt(yr)= 0.51
        min.angle=38.29 j=  1 i= 16 dt(yr)= 0.51
        min.angle=38.30 j=  1 i= 16 dt(yr)= 0.51
        min.angle=38.30 j=  1 i= 16 dt(yr)= 0.51
        min.angle=38.31 j=  1 i= 16 dt(yr)= 0.51
        min.angle=38.31 j=  1 i= 16 dt(yr)= 0.51
        min.angle=38.32 j=  1 i= 16 dt(yr)= 0.51
        min.angle=38.32 j=  1 i= 16 dt(yr)= 0.51
        min.angle=38.32 j=  1 i= 16 dt(yr)= 0.51
        min.angle=38.32 j=  1 i= 16 dt(yr)= 0.51
        min.angle=38.32 j=  1 i= 16 dt(yr)= 0.51
        min.angle=38.32 j=  1 i= 16 dt(yr)= 0.51
        min.angle=38.31 j=  1 i= 16 dt(yr)= 0.51
        min.angle=38.31 j=  1 i= 16 dt(yr)= 0.51
        min.angle=38.31 j=  1 i= 16 dt(yr)= 0.51
        min.angle=38.31 j=  1 i= 16 dt(yr)= 0.51
        min.angle=38.30 j=  1 i= 16 dt(yr)= 0.51
 Remeshing due to shortening required:    200.00829525031551     
        min.angle=38.29 j=  1 i= 17 dt(yr)= 0.51
        min.angle=38.29 j=  1 i= 17 dt(yr)= 0.51
        min.angle=38.29 j=  1 i= 17 dt(yr)= 0.51
        min.angle=38.30 j=  1 i= 17 dt(yr)= 0.51
        min.angle=38.30 j=  1 i= 17 dt(yr)= 0.51
